State Legislative District,Office,Party,Candidate,Votes
House 125,Governor,,Write In,0
House 125,Governor,DEM,Tom WOLF,192
House 125,Governor,GRN,Paul GLOVER,5
House 125,Governor,LIB,Ken V. KRAWCHUK,4
House 125,Governor,REP,Scott R. WAGNER,139
House 128,Governor,,Write-ins,1
House 128,Governor,DEM,Tom Wolf,628
House 128,Governor,GRN,Paul Glover,7
House 128,Governor,LIB,Ken V. Krawchuk,30
House 128,Governor,REP,Scott R. Wagner,1714
House 129,Governor,DEM,Tom Wolf,317
House 129,Governor,GRN,Paul Glover,6
House 129,Governor,LIB,Ken V. Krawchuk,12
House 129,Governor,REP,Scott R. Wagner,418
House 130,Governor,,Write-ins,9
House 130,Governor,DEM,Tom Wolf,7622
House 130,Governor,GRN,Paul Glover,97
House 130,Governor,LIB,Ken V. Krawchuk,211
House 130,Governor,REP,Scott R. Wagner,8779
House 131,Governor,,Write-Ins,1
House 131,Governor,,Write-ins,1
House 131,Governor,DEM,TOM WOLF/JOHN FETTERMAN,1653
House 131,Governor,Dem,Wolf / Fetterman,10045
House 131,Governor,Dem,Wolf/Fetterman,2196
House 131,Governor,GRE,Glover/Bostick,8
House 131,Governor,GRN,Glover / Bowser-Bos,106
House 131,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,17
House 131,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,37
House 131,Governor,LIB,Krawchuk/Smith,35
House 131,Governor,Lib,Krawchuk/ Smith,218
House 131,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,1328
House 131,Governor,Rep,Wagner/ Bartos,8477
House 131,Governor,Rep,Wagner/Bartos,1720
House 133,Governor,Dem,Wolf / Fetterman,15126
House 133,Governor,GRN,Glover / Bowser-Bos,179
House 133,Governor,Lib,Krawchuk/ Smith,345
House 133,Governor,Rep,Wagner/ Bartos,8705
House 134,Governor,,Write-ins,2
House 134,Governor,DEM,Tom Wolf,2082
House 134,Governor,Dem,Wolf / Fetterman,12745
House 134,Governor,GRN,Glover / Bowser-Bos,132
House 134,Governor,GRN,Paul Glover,25
House 134,Governor,LIB,Ken V. Krawchuk,51
House 134,Governor,Lib,Krawchuk/ Smith,243
House 134,Governor,REP,Scott R. Wagner,2641
House 134,Governor,Rep,Wagner/ Bartos,9561
House 135,Governor,,Write-Ins,3
House 135,Governor,Dem,Wolf/Fetterman,15389
House 135,Governor,GRE,Glover/Bostick,162
House 135,Governor,LIB,Krawchuk/Smith,222
House 135,Governor,Rep,Wagner/Bartos,6165
House 136,Governor,,Write-Ins,5
House 136,Governor,Dem,Wolf/Fetterman,14418
House 136,Governor,GRE,Glover/Bostick,149
House 136,Governor,LIB,Krawchuk/Smith,251
House 136,Governor,Rep,Wagner/Bartos,8553
House 137,Governor,,Write-Ins,5
House 137,Governor,Dem,Wolf/Fetterman,13576
House 137,Governor,GRE,Glover/Bostick,122
House 137,Governor,LIB,Krawchuk/Smith,257
House 137,Governor,Rep,Wagner/Bartos,11785
House 138,Governor,,Write-Ins,1
House 138,Governor,Dem,Wolf/Fetterman,14742
House 138,Governor,GRE,Glover/Bostick,121
House 138,Governor,LIB,Krawchuk/Smith,325
House 138,Governor,Rep,Wagner/Bartos,13443
House 139,Governor,DEM,Tom Wolf,10083
House 139,Governor,GRN,Paul Glover,166
House 139,Governor,LIB,Ken Krawchuk,140
House 139,Governor,LIB,Ken V. Krawchuk,89
House 139,Governor,REP,Scott R. Wagner,14597
House 140,Governor,Democratic,Wolf, Tom,24285
House 140,Governor,Green,Glover, Paul,232
House 140,Governor,Libertarian,Krawchuk, Ken V.,340
House 140,Governor,Republican,Wagner, Scott R.,12381
House 141,Governor,Democratic,Wolf, Tom,3383
House 141,Governor,Green,Glover, Paul,35
House 141,Governor,Libertarian,Krawchuk, Ken V.,51
House 141,Governor,Republican,Wagner, Scott R.,1665
House 142,Governor,Democratic,Wolf, Tom,22348
House 142,Governor,Green,Glover, Paul,168
House 142,Governor,Libertarian,Krawchuk, Ken V.,334
House 142,Governor,Republican,Wagner, Scott R.,15725
House 143,Governor,Democratic,Wolf, Tom,17114
House 143,Governor,Green,Glover, Paul,183
House 143,Governor,Libertarian,Krawchuk, Ken V.,303
House 143,Governor,Republican,Wagner, Scott R.,12558
House 144,Governor,Democratic,Wolf, Tom,16972
House 144,Governor,Green,Glover, Paul,173
House 144,Governor,Libertarian,Krawchuk, Ken V.,289
House 144,Governor,Republican,Wagner, Scott R.,13004
House 145,Governor,Democratic,Wolf, Tom,11401
House 145,Governor,Green,Glover, Paul,159
House 145,Governor,Libertarian,Krawchuk, Ken V.,256
House 145,Governor,Republican,Wagner, Scott R.,10243
House 146,Governor,,Write-ins,2
House 146,Governor,DEM,TOM WOLF/JOHN FETTERMAN,12937
House 146,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,129
House 146,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,229
House 146,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,8433
House 147,Governor,,Write-ins,2
House 147,Governor,DEM,TOM WOLF/JOHN FETTERMAN,5423
House 147,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,64
House 147,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,152
House 147,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,5212
House 148,Governor,,Write-ins,0
House 148,Governor,DEM,TOM WOLF/JOHN FETTERMAN,2145
House 148,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,21
House 148,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,30
House 148,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,630
House 150,Governor,,Write-ins,3
House 150,Governor,DEM,TOM WOLF/JOHN FETTERMAN,8243
House 150,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,75
House 150,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,121
House 150,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,4753
House 151,Governor,,Write-ins,2
House 151,Governor,DEM,TOM WOLF/JOHN FETTERMAN,7529
House 151,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,66
House 151,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,97
House 151,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,4572
House 152,Governor,,Write-ins,3
House 152,Governor,DEM,TOM WOLF/JOHN FETTERMAN,4644
House 152,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,44
House 152,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,70
House 152,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,2737
House 153,Governor,,Write-ins,7
House 153,Governor,DEM,TOM WOLF/JOHN FETTERMAN,21197
House 153,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,129
House 153,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,264
House 153,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,7303
House 154,Governor,,Write-ins,8
House 154,Governor,DEM,TOM WOLF/JOHN FETTERMAN,18619
House 154,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,107
House 154,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,104
House 154,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,2487
House 155,Governor,,Write-ins,17
House 155,Governor,DEM,TOM WOLF,20932
House 155,Governor,GRN,PAUL GLOVER,218
House 155,Governor,LIB,KEN V KRAWCHUK,400
House 155,Governor,REP,SCOTT R WAGNER,13467
House 159,Governor,,Write In,0
House 159,Governor,Democrat,Tom WOLF,4846
House 159,Governor,Green,Paul GLOVER,32
House 159,Governor,Libertarian,Ken V. KRAWCHUK,76
House 159,Governor,Republican,Scott R. WAGNER,3462
House 161,Governor,,Write In,10
House 161,Governor,Democrat,Tom WOLF,9636
House 161,Governor,Green,Paul GLOVER,84
House 161,Governor,Libertarian,Ken V. KRAWCHUK,152
House 161,Governor,Republican,Scott R. WAGNER,7574
House 162,Governor,,Write In,6
House 162,Governor,Democrat,Tom WOLF,27926
House 162,Governor,Green,Paul GLOVER,166
House 162,Governor,Libertarian,Ken V. KRAWCHUK,308
House 162,Governor,Republican,Scott R. WAGNER,14220
House 163,Governor,,Write In,22
House 163,Governor,Democrat,Tom WOLF,35230
House 163,Governor,Green,Paul GLOVER,248
House 163,Governor,Libertarian,Ken V. KRAWCHUK,304
House 163,Governor,Republican,Scott R. WAGNER,14331
House 164,Governor,,Write In,10
House 164,Governor,Democrat,Tom WOLF,27888
House 164,Governor,Green,Paul GLOVER,192
House 164,Governor,Libertarian,Ken V. KRAWCHUK,214
House 164,Governor,Republican,Scott R. WAGNER,6816
House 165,Governor,,Write In,8
House 165,Governor,Democrat,Tom WOLF,30610
House 165,Governor,Green,Paul GLOVER,214
House 165,Governor,Libertarian,Ken V. KRAWCHUK,342
House 165,Governor,Republican,Scott R. WAGNER,23482
House 166,Governor,,Write In,0
House 166,Governor,Democrat,Tom WOLF,1058
House 166,Governor,Green,Paul GLOVER,12
House 166,Governor,Libertarian,Ken V. KRAWCHUK,20
House 166,Governor,Republican,Scott R. WAGNER,802
House 167,Governor,,Write-ins,4
House 167,Governor,DEM,TOM WOLF,7457
House 167,Governor,GRN,PAUL GLOVER,47
House 167,Governor,LIB,KEN V KRAWCHUK,105
House 167,Governor,REP,SCOTT R WAGNER,4776
House 168,Governor,,Write In,10
House 168,Governor,Democrat,Tom WOLF,21854
House 168,Governor,Green,Paul GLOVER,210
House 168,Governor,Libertarian,Ken V. KRAWCHUK,320
House 168,Governor,Republican,Scott R. WAGNER,12976
House 169,Governor,,Write-In,11
House 169,Governor,Dem,Tom WOLF,4013
House 169,Governor,Grn,Paul GLOVER,58
House 169,Governor,LIB,Ken V. KRAWCHUK,159
House 169,Governor,Rep,Scott R. WAGNER,6837
House 171,Governor,,Write-ins,1
House 171,Governor,DEM,Tom Wolf, Governor,810
House 171,Governor,GRN,Paul Glover, Governor,19
House 171,Governor,LIB,Ken V Krawchuk, Governor,28
House 171,Governor,REP,Scott R Wagner, Governor,2402
House 172,Governor,,Write-ins,0
House 172,Governor,DEM,TOM WOLF/JOHN FETTERMAN,725
House 172,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,3
House 172,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,9
House 172,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,420
House 176,Governor,DEM,Tom Wolf,11028
House 176,Governor,GRN,Paul Glover,130
House 176,Governor,LIB,Ken Krawchuk,206
House 176,Governor,REP,Scott R. Wagner,10017
House 178,Governor,Democratic,Wolf, Tom,18312
House 178,Governor,Green,Glover, Paul,112
House 178,Governor,Libertarian,Krawchuk, Ken V.,250
House 178,Governor,Republican,Wagner, Scott R.,14308
House 183,Governor,,Write-Ins,1
House 183,Governor,Dem,Wolf / Fetterman,1649
House 183,Governor,Dem,Wolf/Fetterman,5428
House 183,Governor,GRE,Glover/Bostick,73
House 183,Governor,GRN,Glover / Bowser-Bos,24
House 183,Governor,LIB,Krawchuk/Smith,121
House 183,Governor,Lib,Krawchuk/ Smith,47
House 183,Governor,Rep,Wagner/ Bartos,2036
House 183,Governor,Rep,Wagner/Bartos,5861
House 185,Governor,,Write In,2
House 185,Governor,Democrat,Tom WOLF,5856
House 185,Governor,Green,Paul GLOVER,18
House 185,Governor,Libertarian,Ken V. KRAWCHUK,38
House 185,Governor,Republican,Scott R. WAGNER,912
House 187,Governor,Dem,Wolf / Fetterman,16617
House 187,Governor,GRN,Glover / Bowser-Bos,147
House 187,Governor,Lib,Krawchuk/ Smith,329
House 187,Governor,Rep,Wagner/ Bartos,13780
House 189,Governor,DEM,Tom Wolf,11072
House 189,Governor,GRN,Paul Glover,133
House 189,Governor,LIB,Ken Krawchuk,174
House 189,Governor,REP,Scott R. Wagner,9027
House 191,Governor,,Write In,4
House 191,Governor,Democrat,Tom WOLF,13374
House 191,Governor,Green,Paul GLOVER,30
House 191,Governor,Libertarian,Ken V. KRAWCHUK,30
House 191,Governor,Republican,Scott R. WAGNER,746
House 196,Governor,,Write-In,13
House 196,Governor,Dem,Tom WOLF,5512
House 196,Governor,Grn,Paul GLOVER,63
House 196,Governor,LIB,Ken V. KRAWCHUK,160
House 196,Governor,Rep,Scott R. WAGNER,7437
Senate 2,Governor,,Write In,19
Senate 2,Governor,DEM,TOM WOLF,57317
Senate 2,Governor,GRN,PAUL GLOVER,365
Senate 2,Governor,LIB,KEN V. KRAWCHUK,322
Senate 2,Governor,REP,SCOTT R. WAGNER,11952
Senate 4,Governor,,Write In,4
Senate 4,Governor,,Write-ins,15
Senate 4,Governor,DEM,TOM WOLF,63747
Senate 4,Governor,DEM,TOM WOLF/JOHN FETTERMAN,40541
Senate 4,Governor,GRN,PAUL GLOVER,261
Senate 4,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,239
Senate 4,Governor,LIB,KEN V. KRAWCHUK,143
Senate 4,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,377
Senate 4,Governor,REP,SCOTT R. WAGNER,1570
Senate 4,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,10210
Senate 6,Governor,Democratic,Wolf, Tom,65174
Senate 6,Governor,Green,Glover, Paul,518
Senate 6,Governor,Libertarian,Krawchuk, Ken V.,929
Senate 6,Governor,Republican,Wagner, Scott R.,42291
Senate 8,Governor,,Write In,26
Senate 8,Governor,DEM,TOM WOLF,63438
Senate 8,Governor,Democrat,Tom WOLF,45692
Senate 8,Governor,GRN,PAUL GLOVER,388
Senate 8,Governor,Green,Paul GLOVER,198
Senate 8,Governor,LIB,KEN V. KRAWCHUK,231
Senate 8,Governor,Libertarian,Ken V. KRAWCHUK,280
Senate 8,Governor,REP,SCOTT R. WAGNER,2392
Senate 8,Governor,Republican,Scott R. WAGNER,9350
Senate 10,Governor,Democratic,Wolf, Tom,76343
Senate 10,Governor,Green,Glover, Paul,676
Senate 10,Governor,Libertarian,Krawchuk, Ken V.,1148
Senate 10,Governor,Republican,Wagner, Scott R.,50466
Senate 12,Governor,,Write-ins,10
Senate 12,Governor,DEM,TOM WOLF/JOHN FETTERMAN,26269
Senate 12,Governor,Democratic,Wolf, Tom,19554
Senate 12,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,245
Senate 12,Governor,Green,Glover, Paul,156
Senate 12,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,405
Senate 12,Governor,Libertarian,Krawchuk, Ken V.,264
Senate 12,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,16871
Senate 12,Governor,Republican,Wagner, Scott R.,14441
Senate 14,Governor,,WRITE-IN,30
Senate 14,Governor,,Write-In Votes,42
Senate 14,Governor,DEM,Tom Wolf,19318
Senate 14,Governor,DEM,WOLF / FETTERMAN,33248
Senate 14,Governor,GRN,GLOVER / BOWSER-BOSTICK,347
Senate 14,Governor,GRN,Glover/BowserBos,278
Senate 14,Governor,LIB,KRAWCHUK / SMITH,442
Senate 14,Governor,LIB,Krawchuk/Smith,534
Senate 14,Governor,REP,WAGNER / BARTOS,25494
Senate 14,Governor,REP,Wagner/Bartos,24952
Senate 16,Governor,Dem,Wolf / Fetterman,56878
Senate 16,Governor,GRN,Glover / Bowser-Bos,560
Senate 16,Governor,Lib,Krawchuk/ Smith,1027
Senate 16,Governor,Rep,Wagner/ Bartos,37169
Senate 18,Governor,,Write-Ins,10
Senate 18,Governor,Dem,Wolf / Fetterman,20370
Senate 18,Governor,Dem,Wolf/Fetterman,40205
Senate 18,Governor,GRE,Glover/Bostick,409
Senate 18,Governor,GRN,Glover / Bowser-Bos,242
Senate 18,Governor,LIB,Krawchuk/Smith,645
Senate 18,Governor,Lib,Krawchuk/ Smith,458
Senate 18,Governor,Rep,Wagner/ Bartos,11902
Senate 18,Governor,Rep,Wagner/Bartos,22261
Senate 20,Governor,,Denny Wolfe (W),1
Senate 20,Governor,,Denny Wolff (W),1
Senate 20,Governor,,Jeff Bartos-Gov Kathleen S Smith- LT Gov (W),1
Senate 20,Governor,,Laura Ellsworth (W),1
Senate 20,Governor,,Mickey Mouse (W),1
Senate 20,Governor,,Paul Mango (W),2
Senate 20,Governor,,Robert Feigrnley (W),1
Senate 20,Governor,,Tom Mango (W),1
Senate 20,Governor,,WRITE-IN,24
Senate 20,Governor,,We The People (W),1
Senate 20,Governor,,Write In Votes,0
Senate 20,Governor,,Write-ins,7
Senate 20,Governor,DEM,Tom Wolf,21198
Senate 20,Governor,DEM,Tom Wolf John Fetterman,5273
Senate 20,Governor,DEM,WOLF / FETTERMAN,15088
Senate 20,Governor,GRE,Paul Glover,104
Senate 20,Governor,GRN,GLOVER / BOWSER-BOSTICK,167
Senate 20,Governor,GRN,Paul Glover,268
Senate 20,Governor,GRN,Paul Glover Jocolyn Bowser-Bostick,132
Senate 20,Governor,LIB,KRAWCHUK / SMITH,276
Senate 20,Governor,LIB,Ken Krawchuk,184
Senate 20,Governor,LIB,Ken V. Krawchuk,278
Senate 20,Governor,LIB,Ken V. Krawchuk Kathleen S. Smith,177
Senate 20,Governor,REP,Scott R. Wagner,23159
Senate 20,Governor,REP,Scott R. Wagner Jeff Bartos,10237
Senate 20,Governor,REP,Scott Wagner,6344
Senate 20,Governor,REP,WAGNER / BARTOS,16370
Senate 22,Governor,,WRITE-IN,6
Senate 22,Governor,,Write-ins,49
Senate 22,Governor,DEM,Tom Wolf,5128
Senate 22,Governor,DEM,WOLF / FETTERMAN,3337
Senate 22,Governor,DEM,Wolf / Fetterman,54237
Senate 22,Governor,GRN,GLOVER / BOWSER-BOSTICK,14
Senate 22,Governor,GRN,Glover / Bowser-Bostick,436
Senate 22,Governor,GRN,Paul Glover,54
Senate 22,Governor,LIB,KRAWCHUK / SMITH,33
Senate 22,Governor,LIB,Ken Krawchuk,49
Senate 22,Governor,LIB,Krawchuk / Smith,624
Senate 22,Governor,REP,Scott R. Wagner,2827
Senate 22,Governor,REP,WAGNER / BARTOS,2177
Senate 22,Governor,REP,Wagner / Bartos,28616
Senate 24,Governor,,Write-ins,9
Senate 24,Governor,DEM,TOM WOLF/JOHN FETTERMAN,17404
Senate 24,Governor,DEM,Tom Wolf,5814
Senate 24,Governor,Democratic,Wolf, Tom,11231
Senate 24,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,202
Senate 24,Governor,GRN,Paul Glover,81
Senate 24,Governor,Green,Glover, Paul,163
Senate 24,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,362
Senate 24,Governor,LIB,Ken V. Krawchuk,154
Senate 24,Governor,Libertarian,Krawchuk, Ken V.,261
Senate 24,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,11082
Senate 24,Governor,REP,Scott R. Wagner,7173
Senate 24,Governor,Republican,Wagner, Scott R.,10714
Senate 25,Governor,,Write-ins,3
Senate 25,Governor,DEM,TOM WOLF,2544
Senate 25,Governor,GRN,PAUL GLOVER,46
Senate 25,Governor,LIB,KEN V KRAWCHUK,57
Senate 25,Governor,REP,SCOTT R WAGNER,4650
Senate 26,Governor,,Write In,56
Senate 26,Governor,,Write-ins,4
Senate 26,Governor,DEM,TOM WOLF,7457
Senate 26,Governor,Democrat,Tom WOLF,132586
Senate 26,Governor,GRN,PAUL GLOVER,47
Senate 26,Governor,Green,Paul GLOVER,1008
Senate 26,Governor,LIB,KEN V KRAWCHUK,105
Senate 26,Governor,Libertarian,Ken V. KRAWCHUK,1524
Senate 26,Governor,REP,SCOTT R WAGNER,4776
Senate 26,Governor,Republican,Scott R. WAGNER,75971
Senate 28,Governor,,Write-In,107
Senate 28,Governor,Dem,Tom WOLF,45423
Senate 28,Governor,Grn,Paul GLOVER,541
Senate 28,Governor,LIB,Ken V. KRAWCHUK,1245
Senate 28,Governor,Rep,Scott R. WAGNER,52829
Senate 30,Governor,,BARACK OBAMA (W),1
Senate 30,Governor,,CATHERINE RABOLD\ (W),1
Senate 30,Governor,,CHRISTIAN GREEN (W),1
Senate 30,Governor,,DONALD J TRUMP (W),2
Senate 30,Governor,,DONOVAN C JENKINS (W),1
Senate 30,Governor,,DR JOHN D DIAMOND (W),1
Senate 30,Governor,,ERIC SHOCK (W),1
Senate 30,Governor,,GERRY LOWE (W),1
Senate 30,Governor,,JERRY STERN (W),5
Senate 30,Governor,,JOE MANGO (W),1
Senate 30,Governor,,JOHN DIAMOND (W),1
Senate 30,Governor,,JOHN HIRT (W),1
Senate 30,Governor,,JOHN SWOPE (W),2
Senate 30,Governor,,JUDY WARD (W),1
Senate 30,Governor,,KURT ANGLE (W),1
Senate 30,Governor,,LAURA ELLSWORTH (W),3
Senate 30,Governor,,MICHAEL FAY (W),1
Senate 30,Governor,,MIKE HORTON (W),1
Senate 30,Governor,,Over Votes,0
Senate 30,Governor,,PATRICK J FANELLI (W),1
Senate 30,Governor,,PATRICK KIELTY (W),1
Senate 30,Governor,,PAUL MANGO (W),2
Senate 30,Governor,,REP RON MILLER (W),1
Senate 30,Governor,,ROBERT BYERS (W),1
Senate 30,Governor,,SAM ROHRER (W),1
Senate 30,Governor,,TOM SMITH (W),1
Senate 30,Governor,,TOM WOLF JOCOLYN BOWSERBI (W),1
Senate 30,Governor,,Under Votes,501
Senate 30,Governor,,Write - In,9
Senate 30,Governor,,Write In,11
Senate 30,Governor,DEM,TOM WOLF,14625
Senate 30,Governor,DEM,Wolf / Fetterman,3855
Senate 30,Governor,DEM,Wolf/Fetterman,6074
Senate 30,Governor,GRE,PAUL GLOVER,217
Senate 30,Governor,GRN,Glover / Bostick,83
Senate 30,Governor,GRN,Glover/Bowser-Bostick,119
Senate 30,Governor,LIB,KEN V KRAWCHUK,509
Senate 30,Governor,LIB,Krawchuk / Smith,125
Senate 30,Governor,LIB,Krawchuk/Smith,216
Senate 30,Governor,REP,SCOTT R WAGNER,28176
Senate 30,Governor,REP,Wagner / Bartos,11572
Senate 30,Governor,REP,Wagner/Bartos,14788
Senate 32,Governor,,Write-ins,33
Senate 32,Governor,DEM,Tom Wolf,28929
Senate 32,Governor,GRN,Paul Glover,467
Senate 32,Governor,LIB,Ken V. Krawchuk,750
Senate 32,Governor,REP,Scott R. Wagner,39491
Senate 34,Governor,,Over Votes,11
Senate 34,Governor,,Under Votes,74
Senate 34,Governor,,WRITE-IN,37
Senate 34,Governor,,Write In,12
Senate 34,Governor,,Write-ins,10
Senate 34,Governor,DEM,Tom Wolf,2543
Senate 34,Governor,DEM,Tom Wolf, Governor,4404
Senate 34,Governor,DEMOCRATIC,TOM WOLF,34961
Senate 34,Governor,GREEN,PAUL GLOVER,515
Senate 34,Governor,GRN,Paul Glover,62
Senate 34,Governor,GRN,Paul Glover, Governor,85
Senate 34,Governor,LIB,Ken V Krawchuk,101
Senate 34,Governor,LIB,Ken V Krawchuk, Governor,138
Senate 34,Governor,LIBERTARIAN,KEN V KRAWCHUK,849
Senate 34,Governor,REP,Scott R Wagner,5772
Senate 34,Governor,REP,Scott R Wagner, Governor,9758
Senate 34,Governor,REPUBLICAN,SCOTT R WAGNER,24353
Senate 35,Governor,,Write-ins,3
Senate 35,Governor,DEM,TOM WOLF,824
Senate 35,Governor,GRN,PAUL GLOVER,21
Senate 35,Governor,LIB,KEN V KRAWCHUK,37
Senate 35,Governor,REP,SCOTT R WAGNER,2105
Senate 36,Governor,,Write-ins,94
Senate 36,Governor,DEM,Tom Wolf,44576
Senate 36,Governor,GRN,Paul Glover,562
Senate 36,Governor,LIB,Ken V. Krawchuk,1585
Senate 36,Governor,REP,Scott R. Wagner,58648
Senate 38,Governor,,WRITE-IN,129
Senate 38,Governor,Dem,Tom Wolf,74721
Senate 38,Governor,Grn,Paul Glover,493
Senate 38,Governor,Lib,Ken V. Krawchuk,1400
Senate 38,Governor,Rep,Scott R. Wagner,48172
Senate 40,Governor,,Write-Ins,6
Senate 40,Governor,DEM,Tom Wolf,26936
Senate 40,Governor,Dem,Wolf/Fetterman,25544
Senate 40,Governor,GRE,Glover/Bostick,226
Senate 40,Governor,GRN,Paul Glover,308
Senate 40,Governor,LIB,Ken Krawchuk,432
Senate 40,Governor,LIB,Krawchuk/Smith,566
Senate 40,Governor,REP,Scott R. Wagner,19703
Senate 40,Governor,Rep,Wagner/Bartos,25266
Senate 42,Governor,,WRITE-IN,95
Senate 42,Governor,Dem,Tom Wolf,79807
Senate 42,Governor,Grn,Paul Glover,564
Senate 42,Governor,Lib,Ken V. Krawchuk,1034
Senate 42,Governor,Rep,Scott R. Wagner,24463
Senate 44,Governor,,Write-ins,36
Senate 44,Governor,DEM,TOM WOLF,35028
Senate 44,Governor,DEM,TOM WOLF/JOHN FETTERMAN,17248
Senate 44,Governor,DEM,Tom Wolf,3890
Senate 44,Governor,GRN,PAUL GLOVER,348
Senate 44,Governor,GRN,PAUL GLOVER/J. BOWSER-BOSTICK,156
Senate 44,Governor,GRN,Paul Glover,41
Senate 44,Governor,LIB,KEN V KRAWCHUK,686
Senate 44,Governor,LIB,KEN V. KRAWCHUK/K.S. SMITH,287
Senate 44,Governor,LIB,Ken V. Krawchuk,108
Senate 44,Governor,REP,SCOTT R WAGNER,25129
Senate 44,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,10952
Senate 44,Governor,REP,Scott R. Wagner,4247
Senate 46,Governor,,Write-ins,61
Senate 46,Governor,DEM,Tom Wolf,40937
Senate 46,Governor,GRN,Paul Glover,631
Senate 46,Governor,LIB,Ken V. Krawchuk,1256
Senate 46,Governor,REP,Scott R. Wagner,34214
Senate 46,Governor,REP,Scott Wagner,6381
Senate 48,Governor,,Write In,10
Senate 48,Governor,,Write-In,25
Senate 48,Governor,,Write-ins,52
Senate 48,Governor,DEM,Tom WOLF,13133
