State Legislative District,Office,Party,Candidate,Votes
Senate 48,Governor,DEM,WOLF / FETTERMAN,20159
Senate 48,Governor,Dem,Tom WOLF,11927
Senate 48,Governor,GRN,GLOVER / BOWSER-BOSTICK,255
Senate 48,Governor,GRN,Paul GLOVER,164
Senate 48,Governor,Grn,Paul GLOVER,106
Senate 48,Governor,LIB,KRAWCHUK / SMITH,598
Senate 48,Governor,LIB,Ken V. KRAWCHUK,636
Senate 48,Governor,REP,Scott R. WAGNER,9725
Senate 48,Governor,REP,WAGNER / BARTOS,28096
Senate 48,Governor,Rep,Scott R. WAGNER,11675
Senate 50,Governor,,Write-ins,42
Senate 50,Governor,DEM,TOM WOLF/JOHN FETTERMAN,12331
Senate 50,Governor,DEM,Tom Wolf,6250
Senate 50,Governor,DEM,WOLF / FETTERMAN,18200
Senate 50,Governor,GRN,GLOVER / BOWSER-BOSTICK,276
Senate 50,Governor,GRN,PAUL GLOVER/JOCOLYN BOWER-BOSTICK,212
Senate 50,Governor,GRN,Paul Glover,96
Senate 50,Governor,LIB,KEN V. KRAWCHUK/K. S. SMITH,343
Senate 50,Governor,LIB,KRAWCHUK / SMITH,413
Senate 50,Governor,LIB,Ken Krawchuk,143
Senate 50,Governor,LIB,Ken V. Krawchuk,15
Senate 50,Governor,REP,SCOTT R. WAGNER/JEFF BARTOS,18147
Senate 50,Governor,REP,Scott R. Wagner,6946
Senate 50,Governor,REP,WAGNER / BARTOS,22211
House 3,U.S. Senate,DEM,Bob Casey Jr.,2133
House 3,U.S. Senate,GRN,Neal Gale,23
House 3,U.S. Senate,LIB,Dale R. Kerns Jr.,59
House 3,U.S. Senate,REP,Lou Barletta,1479
House 4,U.S. Senate,DEM,Bob Casey Jr.,2919
House 4,U.S. Senate,GRN,Neal Gale,36
House 4,U.S. Senate,LIB,Dale R. Kerns Jr.,64
House 4,U.S. Senate,REP,Lou Barletta,3878
House 6,U.S. Senate,,Write-ins,4
House 6,U.S. Senate,DEM,BOB CASEY JR,7192
House 6,U.S. Senate,DEM,Bob Casey Jr.,312
House 6,U.S. Senate,GRN,NEAL GALE,124
House 6,U.S. Senate,GRN,Neal Gale,5
House 6,U.S. Senate,LIB,DALE KERNS JR,208
House 6,U.S. Senate,LIB,Dale R. Kerns Jr.,6
House 6,U.S. Senate,REP,LOU BARLETTA,9586
House 6,U.S. Senate,REP,Lou Barletta,399
House 7,U.S. Senate,,Write-ins,6
House 7,U.S. Senate,DEM,BOB CASEY JR.,11519
House 7,U.S. Senate,GRN,NEAL GALE,109
House 7,U.S. Senate,LIB,DALE R. KERNS JR.,204
House 7,U.S. Senate,REP,LOU BARLETTA,9445
House 8,U.S. Senate,,Write-ins,7
House 8,U.S. Senate,DEM,BOB CASEY JR.,4294
House 8,U.S. Senate,GRN,NEAL GALE,83
House 8,U.S. Senate,LIB,DALE R. KERNS JR.,160
House 8,U.S. Senate,REP,LOU BARLETTA,8462
House 13,U.S. Senate,,Write-ins,0
House 13,U.S. Senate,DEM,BOB CASEY JR,416
House 13,U.S. Senate,GRN,NEAL GALE,5
House 13,U.S. Senate,LIB,DALE R KERNS JR,8
House 13,U.S. Senate,REP,LOU BARLETTA,410
House 15,U.S. Senate,,Write-ins,2
House 15,U.S. Senate,DEM,Bob Casey Jr.,3198
House 15,U.S. Senate,GRN,Neal Gale,45
House 15,U.S. Senate,LIB,Dale R. Kerns Jr.,85
House 15,U.S. Senate,REP,Lou Barletta,5577
House 17,U.S. Senate,,Write-ins,3
House 17,U.S. Senate,DEM,BOB CASEY JR,2850
House 17,U.S. Senate,DEM,BOB CASEY JR.,2323
House 17,U.S. Senate,GRN,NEAL GALE,86
House 17,U.S. Senate,LIB,DALE KERNS JR,66
House 17,U.S. Senate,LIB,DALE R. KERNS JR.,75
House 17,U.S. Senate,REP,LOU BARLETTA,9364
House 18,U.S. Senate,Democratic,Casey, Jr., Bob,13583
House 18,U.S. Senate,Green,Gale, Neal,154
House 18,U.S. Senate,Libertarian,Kerns, Jr., Dale R.,181
House 18,U.S. Senate,Republican,Barletta, Lou,8816
House 19,U.S. Senate,,WRITE-IN,6
House 19,U.S. Senate,Dem,Bob Casey, Jr.,3440
House 19,U.S. Senate,Grn,Neal Gale,32
House 19,U.S. Senate,Lib,Dale R. Kerns, Jr.,49
House 19,U.S. Senate,Rep,Lou Barletta,791
House 20,U.S. Senate,,WRITE-IN,34
House 20,U.S. Senate,Dem,Bob Casey, Jr.,27509
House 20,U.S. Senate,Grn,Neal Gale,258
House 20,U.S. Senate,Lib,Dale R. Kerns, Jr.,511
House 20,U.S. Senate,Rep,Lou Barletta,11137
House 21,U.S. Senate,,WRITE-IN,28
House 21,U.S. Senate,Dem,Bob Casey, Jr.,14070
House 21,U.S. Senate,Grn,Neal Gale,143
House 21,U.S. Senate,Lib,Dale R. Kerns, Jr.,327
House 21,U.S. Senate,Rep,Lou Barletta,9039
House 22,U.S. Senate,Dem,Bob Casey Jr,20570
House 22,U.S. Senate,GRN,Neal Gale,218
House 22,U.S. Senate,Lib,Dale R Kerns Jr,273
House 22,U.S. Senate,Rep,Lou Barletta,6979
House 23,U.S. Senate,,WRITE-IN,0
House 23,U.S. Senate,Dem,Bob Casey, Jr.,210
House 23,U.S. Senate,Grn,Neal Gale,0
House 23,U.S. Senate,Lib,Dale R. Kerns, Jr.,8
House 23,U.S. Senate,Rep,Lou Barletta,67
House 24,U.S. Senate,,WRITE-IN,19
House 24,U.S. Senate,Dem,Bob Casey, Jr.,16598
House 24,U.S. Senate,Grn,Neal Gale,149
House 24,U.S. Senate,Lib,Dale R. Kerns, Jr.,170
House 24,U.S. Senate,Rep,Lou Barletta,1818
House 26,U.S. Senate,,Write-ins,4
House 26,U.S. Senate,DEM,BOB CASEY JR,8894
House 26,U.S. Senate,GRN,NEAL GALE,135
House 26,U.S. Senate,LIB,DALE R KERNS JR,211
House 26,U.S. Senate,REP,LOU BARLETTA,7844
House 27,U.S. Senate,,WRITE-IN,15
House 27,U.S. Senate,Dem,Bob Casey, Jr.,15542
House 27,U.S. Senate,Grn,Neal Gale,145
House 27,U.S. Senate,Lib,Dale R. Kerns, Jr.,217
House 27,U.S. Senate,Rep,Lou Barletta,4667
House 28,U.S. Senate,,WRITE-IN,9
House 28,U.S. Senate,Dem,Bob Casey, Jr.,12539
House 28,U.S. Senate,Grn,Neal Gale,90
House 28,U.S. Senate,Lib,Dale R. Kerns, Jr.,293
House 28,U.S. Senate,Rep,Lou Barletta,10834
House 29,U.S. Senate,Democratic,Casey, Jr., Bob,18763
House 29,U.S. Senate,Green,Gale, Neal,176
House 29,U.S. Senate,Libertarian,Kerns, Jr., Dale R.,280
House 29,U.S. Senate,Republican,Barletta, Lou,15376
House 30,U.S. Senate,,WRITE-IN,14
House 30,U.S. Senate,Dem,Bob Casey, Jr.,7289
House 30,U.S. Senate,Grn,Neal Gale,73
House 30,U.S. Senate,Lib,Dale R. Kerns, Jr.,150
House 30,U.S. Senate,Rep,Lou Barletta,4257
House 31,U.S. Senate,Democratic,Casey, Jr., Bob,20531
House 31,U.S. Senate,Green,Gale, Neal,205
House 31,U.S. Senate,Libertarian,Kerns, Jr., Dale R.,275
House 31,U.S. Senate,Republican,Barletta, Lou,12757
House 32,U.S. Senate,,WRITE-IN,1
House 32,U.S. Senate,Dem,Bob Casey, Jr.,1773
House 32,U.S. Senate,Grn,Neal Gale,16
House 32,U.S. Senate,Lib,Dale R. Kerns, Jr.,33
House 32,U.S. Senate,Rep,Lou Barletta,1439
House 33,U.S. Senate,,WRITE-IN,9
House 33,U.S. Senate,Dem,Bob Casey, Jr.,8302
House 33,U.S. Senate,Grn,Neal Gale,99
House 33,U.S. Senate,Lib,Dale R. Kerns, Jr.,206
House 33,U.S. Senate,Rep,Lou Barletta,6746
House 34,U.S. Senate,,WRITE-IN,7
House 34,U.S. Senate,Dem,Bob Casey, Jr.,5355
House 34,U.S. Senate,Grn,Neal Gale,54
House 34,U.S. Senate,Lib,Dale R. Kerns, Jr.,124
House 34,U.S. Senate,Rep,Lou Barletta,3795
House 35,U.S. Senate,,WRITE-IN,2
House 35,U.S. Senate,Dem,Bob Casey, Jr.,1975
House 35,U.S. Senate,Grn,Neal Gale,12
House 35,U.S. Senate,Lib,Dale R. Kerns, Jr.,34
House 35,U.S. Senate,Rep,Lou Barletta,1518
House 36,U.S. Senate,,WRITE-IN,7
House 36,U.S. Senate,Dem,Bob Casey, Jr.,4150
House 36,U.S. Senate,Grn,Neal Gale,35
House 36,U.S. Senate,Lib,Dale R. Kerns, Jr.,106
House 36,U.S. Senate,Rep,Lou Barletta,2777
House 37,U.S. Senate,,Write-ins,4
House 37,U.S. Senate,DEM,Bob Casey Jr.,5137
House 37,U.S. Senate,GRN,Neal Gale,101
House 37,U.S. Senate,LIB,Dale R. Kerns Jr.,211
House 37,U.S. Senate,REP,Lou Barletta,10643
House 38,U.S. Senate,,WRITE-IN,3
House 38,U.S. Senate,Dem,Bob Casey, Jr.,3185
House 38,U.S. Senate,Grn,Neal Gale,28
House 38,U.S. Senate,Lib,Dale R. Kerns, Jr.,54
House 38,U.S. Senate,Rep,Lou Barletta,2311
House 39,U.S. Senate,,WRITE-IN,0
House 39,U.S. Senate,,Write-ins,2
House 39,U.S. Senate,DEM,Bob Casey Jr.,2293
House 39,U.S. Senate,Dem,Bob Casey, Jr.,693
House 39,U.S. Senate,GRN,Neal Gale,17
House 39,U.S. Senate,Grn,Neal Gale,7
House 39,U.S. Senate,LIB,Dale R. Kerns Jr.,61
House 39,U.S. Senate,Lib,Dale R. Kerns, Jr.,18
House 39,U.S. Senate,REP,Lou Barletta,2901
House 39,U.S. Senate,Rep,Lou Barletta,460
House 41,U.S. Senate,,Write-ins,3
House 41,U.S. Senate,DEM,Bob Casey Jr.,6529
House 41,U.S. Senate,GRN,Neal Gale,81
House 41,U.S. Senate,LIB,Dale R. Kerns Jr.,174
House 41,U.S. Senate,REP,Lou Barletta,6486
House 42,U.S. Senate,,WRITE-IN,12
House 42,U.S. Senate,Dem,Bob Casey, Jr.,15342
House 42,U.S. Senate,Grn,Neal Gale,172
House 42,U.S. Senate,Lib,Dale R. Kerns, Jr.,237
House 42,U.S. Senate,Rep,Lou Barletta,5703
House 43,U.S. Senate,,Write-ins,1
House 43,U.S. Senate,DEM,Bob Casey Jr.,1647
House 43,U.S. Senate,GRN,Neal Gale,18
House 43,U.S. Senate,LIB,Dale R. Kerns Jr.,63
House 43,U.S. Senate,REP,Lou Barletta,2326
House 44,U.S. Senate,,WRITE-IN,3
House 44,U.S. Senate,Dem,Bob Casey, Jr.,2390
House 44,U.S. Senate,Grn,Neal Gale,24
House 44,U.S. Senate,Lib,Dale R. Kerns, Jr.,52
House 44,U.S. Senate,Rep,Lou Barletta,1251
House 45,U.S. Senate,,WRITE-IN,7
House 45,U.S. Senate,Dem,Bob Casey, Jr.,5147
House 45,U.S. Senate,Grn,Neal Gale,68
House 45,U.S. Senate,Lib,Dale R. Kerns, Jr.,103
House 45,U.S. Senate,Rep,Lou Barletta,2563
House 46,U.S. Senate,,WRITE-IN,0
House 46,U.S. Senate,,Write-ins,3
House 46,U.S. Senate,DEM,Bob Casey Jr.,6634
House 46,U.S. Senate,Dem,Bob Casey, Jr.,335
House 46,U.S. Senate,GRN,Neal Gale,67
House 46,U.S. Senate,Grn,Neal Gale,5
House 46,U.S. Senate,LIB,Dale R. Kerns Jr.,175
House 46,U.S. Senate,Lib,Dale R. Kerns, Jr.,9
House 46,U.S. Senate,REP,Lou Barletta,7057
House 46,U.S. Senate,Rep,Lou Barletta,172
House 47,U.S. Senate,,Write-In,10
House 47,U.S. Senate,Dem,Bob CASEY, JR.,10069
House 47,U.S. Senate,Grn,Neal GALE,176
House 47,U.S. Senate,LIB,Dale R. KERNS, JR.,345
House 47,U.S. Senate,Rep,Lou BARLETTA,11714
House 48,U.S. Senate,,Write-ins,14
House 48,U.S. Senate,DEM,Bob Casey Jr.,12684
House 48,U.S. Senate,GRN,Neal Gale,123
House 48,U.S. Senate,LIB,Dale R. Kerns Jr.,280
House 48,U.S. Senate,REP,Lou Barletta,11394
House 49,U.S. Senate,,Write-ins,6
House 49,U.S. Senate,DEM,Bob Casey Jr.,10784
House 49,U.S. Senate,GRN,Neal Gale,99
House 49,U.S. Senate,LIB,Dale R. Kerns Jr.,257
House 49,U.S. Senate,REP,Lou Barletta,9609
House 50,U.S. Senate,,Write-ins,1
House 50,U.S. Senate,DEM,Bob Casey Jr.,9499
House 50,U.S. Senate,GRN,Neal Gale,99
House 50,U.S. Senate,LIB,Dale R. Kerns Jr.,170
House 50,U.S. Senate,REP,Lou Barletta,9103
House 51,U.S. Senate,,Write-ins,12
House 51,U.S. Senate,DEM,Bob Casey Jr.,8776
House 51,U.S. Senate,GRN,Neal Gale,110
House 51,U.S. Senate,LIB,Dale R. Kerns Jr.,188
House 51,U.S. Senate,REP,Lou Barletta,10279
House 52,U.S. Senate,,Write-ins,9
House 52,U.S. Senate,DEM,Bob Casey Jr,721
House 52,U.S. Senate,DEM,Bob Casey Jr.,7285
House 52,U.S. Senate,GRN,Neal Gale,91
House 52,U.S. Senate,LIB,Dale R Kerns Jr,20
House 52,U.S. Senate,LIB,Dale R. Kerns Jr.,196
House 52,U.S. Senate,REP,Lou Barletta,9622
House 53,U.S. Senate,,Write-ins,2
House 53,U.S. Senate,DEM,BOB CASEY JR,14401
House 53,U.S. Senate,GRN,NEAL GALE,195
House 53,U.S. Senate,LIB,DALE R KERNS JR,262
House 53,U.S. Senate,REP,LOU BARLETTA,10387
House 54,U.S. Senate,,WRITE-IN,1
House 54,U.S. Senate,Dem,Bob Casey, Jr.,3450
House 54,U.S. Senate,Grn,Neal Gale,32
House 54,U.S. Senate,Lib,Dale R. Kerns, Jr.,71
House 54,U.S. Senate,Rep,Lou Barletta,3280
House 56,U.S. Senate,,Write-ins,1
House 56,U.S. Senate,DEM,Bob Casey Jr,213
House 56,U.S. Senate,GRN,Neal Gale,5
House 56,U.S. Senate,LIB,Dale R Kerns Jr,5
House 56,U.S. Senate,REP,Lou Barletta,355
House 58,U.S. Senate,,Write-ins,5
House 58,U.S. Senate,DEM,Bob Casey Jr,4788
House 58,U.S. Senate,GRN,Neal Gale,35
House 58,U.S. Senate,LIB,Dale R Kerns Jr,97
House 58,U.S. Senate,REP,Lou Barletta,4814
House 59,U.S. Senate,,Write-ins,1
House 59,U.S. Senate,DEM,Bob Casey Jr,748
House 59,U.S. Senate,DEM,Bob Casey Jr.,1922
House 59,U.S. Senate,GRN,Neal Gale,24
House 59,U.S. Senate,LIB,Dale R Kerns Jr,16
House 59,U.S. Senate,LIB,Dale R. Kerns Jr.,50
House 59,U.S. Senate,REP,Lou Barletta,4133
House 61,U.S. Senate,,Write-ins,1
House 61,U.S. Senate,DEM,BOB CASEY JR,1673
House 61,U.S. Senate,GRN,NEAL GALE,11
House 61,U.S. Senate,LIB,DALE R KERNS JR,28
House 61,U.S. Senate,REP,LOU BARLETTA,873
House 65,U.S. Senate,,Write-ins,1
House 65,U.S. Senate,DEM,BOB CASEY JR,1678
House 65,U.S. Senate,DEM,Bob Casey Jr.,381
House 65,U.S. Senate,GRN,NEAL GALE,32
House 65,U.S. Senate,GRN,Neal Gale,9
House 65,U.S. Senate,LIB,DALE KERNS JR,50
House 65,U.S. Senate,LIB,Dale R. Kerns Jr.,9
House 65,U.S. Senate,REP,LOU BARLETTA,3246
House 65,U.S. Senate,REP,Lou Barletta,843
House 69,U.S. Senate,DEM,Bob Casey Jr.,6077
House 69,U.S. Senate,GRN,Neal Gale,86
House 69,U.S. Senate,LIB,Dale R. Kerns Jr.,191
House 69,U.S. Senate,REP,Lou Barletta,12627
House 71,U.S. Senate,DEM,Bob Casey Jr.,131
House 71,U.S. Senate,GRN,Neal Gale,4
House 71,U.S. Senate,LIB,Dale R. Kerns Jr.,4
House 71,U.S. Senate,REP,Lou Barletta,194
House 74,U.S. Senate,,Write-ins,5
House 74,U.S. Senate,DEM,BOB CASEY JR,5516
House 74,U.S. Senate,GRN,NEAL GALE,68
House 74,U.S. Senate,LIB,DALE R KERNS JR,92
House 74,U.S. Senate,REP,LOU BARLETTA,3758
House 78,U.S. Senate,,Write - In,0
House 78,U.S. Senate,,Write In,5
House 78,U.S. Senate,DEM,Bob Casey Jr,907
House 78,U.S. Senate,DEM,Bob Casey Jr.,1068
House 78,U.S. Senate,GRN,Neal Gale,51
House 78,U.S. Senate,LIB,Dale R Kerns Jr,37
House 78,U.S. Senate,LIB,Dale R. Kerns Jr.,42
House 78,U.S. Senate,REP,Lou Barletta,6990
House 79,U.S. Senate,,EMILY BEST (W),2
House 79,U.S. Senate,,JACK WILKES (W),1
House 79,U.S. Senate,,JOHN EICHELBERGER (W),1
House 79,U.S. Senate,,JOYCE (W),1
House 79,U.S. Senate,,LEWIS HALE (W),1
House 79,U.S. Senate,,MARK ZORGER (W),1
House 79,U.S. Senate,,Over Votes,0
House 79,U.S. Senate,,TERRY PENNINGTON (W),1
House 79,U.S. Senate,,Under Votes,369
House 79,U.S. Senate,,WAGNER (W),1
House 79,U.S. Senate,BOB CASEY, JR,DEM,142
House 79,U.S. Senate,DALE R KEARNS, JR,LIB,4
House 79,U.S. Senate,DEM,BOB CASEY, JR,7515
House 79,U.S. Senate,GRN,NEAL GALE,122
House 79,U.S. Senate,LIB,DALE R KEARNS, JR,235
House 79,U.S. Senate,LOU BARLETTA,REP,137
House 79,U.S. Senate,NEAL GALE,GRN,5
House 79,U.S. Senate,Over Votes,,0
House 79,U.S. Senate,REP,LOU BARLETTA,11124
House 79,U.S. Senate,Under Votes,,8
House 80,U.S. Senate,,ADAM DURASOSTARR (W),1
House 80,U.S. Senate,,DONALD HAZENSTAB (W),1
House 80,U.S. Senate,,KRIS LETANG (W),1
House 80,U.S. Senate,,MATT MICHRINA (W),1
House 80,U.S. Senate,,Over Votes,0
House 80,U.S. Senate,,Under Votes,503
House 80,U.S. Senate,DEM,BOB CASEY, JR,6945
House 80,U.S. Senate,GRN,NEAL GALE,131
House 80,U.S. Senate,LIB,DALE R KEARNS, JR,243
House 80,U.S. Senate,REP,LOU BARLETTA,16567
House 81,U.S. Senate,,Write In,8
House 81,U.S. Senate,,Write-ins,0
House 81,U.S. Senate,DEM,Bob Casey Jr,4686
House 81,U.S. Senate,GRN,Neal Gale,96
House 81,U.S. Senate,LIB,Dale R Kerns Jr,166
House 81,U.S. Senate,REP,Lou Barletta,9149
House 82,U.S. Senate,,Over Votes,5
House 82,U.S. Senate,,Under Votes,110
House 82,U.S. Senate,,Write - In,0
House 82,U.S. Senate,,Write In,5
House 82,U.S. Senate,,Write-ins,8
House 82,U.S. Senate,DEM,Bob Casey Jr,5083
House 82,U.S. Senate,DEM,Bob Casey Jr.,729
House 82,U.S. Senate,GRN,Neal Gale,160
House 82,U.S. Senate,LIB,Dale R Kerns Jr,237
House 82,U.S. Senate,LIB,Dale R. Kerns Jr.,35
House 82,U.S. Senate,REP,Lou Barletta,14160
House 89,U.S. Senate,,Write - In,0
House 89,U.S. Senate,DEM,Bob Casey Jr.,35
House 89,U.S. Senate,GRN,Neal Gale,1
House 89,U.S. Senate,LIB,Dale R. Kerns Jr.,3
House 89,U.S. Senate,REP,Lou Barletta,122
House 90,U.S. Senate,,Write - In,0
House 90,U.S. Senate,DEM,Bob Casey Jr.,541
House 90,U.S. Senate,GRN,Neal Gale,9
House 90,U.S. Senate,LIB,Dale R. Kerns Jr.,23
House 90,U.S. Senate,REP,Lou Barletta,1061
House 92,U.S. Senate,,Write-In,1
House 92,U.S. Senate,Dem,Bob CASEY, JR.,2236
House 92,U.S. Senate,Grn,Neal GALE,52
House 92,U.S. Senate,LIB,Dale R. KERNS, JR.,95
House 92,U.S. Senate,Rep,Lou BARLETTA,4065
House 93,U.S. Senate,,Write-In,13
House 93,U.S. Senate,Dem,Bob CASEY, JR.,13943
House 93,U.S. Senate,Grn,Neal GALE,241
House 93,U.S. Senate,LIB,Dale R. KERNS, JR.,474
House 93,U.S. Senate,Rep,Lou BARLETTA,16876
House 94,U.S. Senate,,Write-In,9
House 94,U.S. Senate,Dem,Bob CASEY, JR.,8969
House 94,U.S. Senate,Grn,Neal GALE,169
House 94,U.S. Senate,LIB,Dale R. KERNS, JR.,336
House 94,U.S. Senate,Rep,Lou BARLETTA,14125
House 95,U.S. Senate,,Write-In,12
House 95,U.S. Senate,Dem,Bob CASEY, JR.,8556
House 95,U.S. Senate,Grn,Neal GALE,127
House 95,U.S. Senate,LIB,Dale R. KERNS, JR.,238
House 95,U.S. Senate,Rep,Lou BARLETTA,6075
House 97,U.S. Senate,,Write-ins,4
House 97,U.S. Senate,DEM,Bob Casey Jr.,6536
House 97,U.S. Senate,GRN,Neal Gale,114
House 97,U.S. Senate,LIB,Dale R. Kerns Jr.,209
House 97,U.S. Senate,REP,Lou Barletta,7852
House 98,U.S. Senate,,Write In,0
House 98,U.S. Senate,,Write-ins,4
House 98,U.S. Senate,DEM,Bob CASEY, JR.,646
House 98,U.S. Senate,DEM,Bob Casey Jr.,6024
House 98,U.S. Senate,GRN,Neal GALE,16
House 98,U.S. Senate,GRN,Neal Gale,123
House 98,U.S. Senate,LIB,Dale R. KERNS, JR.,27
House 98,U.S. Senate,LIB,Dale R. Kerns Jr.,265
House 98,U.S. Senate,REP,Lou BARLETTA,1412
House 98,U.S. Senate,REP,Lou Barletta,7069
House 99,U.S. Senate,,Write-ins,6
House 99,U.S. Senate,DEM,Bob Casey Jr.,4960
House 99,U.S. Senate,GRN,Neal Gale,101
House 99,U.S. Senate,LIB,Dale R. Kerns Jr.,231
House 99,U.S. Senate,REP,Lou Barletta,8963
House 101,U.S. Senate,,Write-ins,13
House 101,U.S. Senate,DEM,BOB CASEY, JR,10480
House 101,U.S. Senate,GRN,NEAL GALE,169
House 101,U.S. Senate,LIB,DALE R. KERNS, JR.,306
House 101,U.S. Senate,REP,LOU BARLETTA,13229
House 102,U.S. Senate,,Write-ins,11
House 102,U.S. Senate,DEM,BOB CASEY, JR,7415
House 102,U.S. Senate,GRN,NEAL GALE,153
House 102,U.S. Senate,LIB,DALE R. KERNS, JR.,271
House 102,U.S. Senate,REP,LOU BARLETTA,14980
House 103,U.S. Senate,,Write In,1
House 103,U.S. Senate,DEM,Bob CASEY, JR.,960
House 103,U.S. Senate,GRN,Neal GALE,13
House 103,U.S. Senate,LIB,Dale R. KERNS, JR.,21
House 103,U.S. Senate,REP,Lou BARLETTA,567
House 104,U.S. Senate,,Write In,2
House 104,U.S. Senate,,Write-ins,2
House 104,U.S. Senate,DEM,BOB CASEY, JR,473
House 104,U.S. Senate,DEM,Bob CASEY, JR.,793
House 104,U.S. Senate,GRN,NEAL GALE,21
House 104,U.S. Senate,GRN,Neal GALE,12
House 104,U.S. Senate,LIB,DALE R. KERNS, JR.,25
House 104,U.S. Senate,LIB,Dale R. KERNS, JR.,9
House 104,U.S. Senate,REP,LOU BARLETTA,1627
House 104,U.S. Senate,REP,Lou BARLETTA,251
House 106,U.S. Senate,,Write In,7
House 106,U.S. Senate,DEM,Bob CASEY, JR.,9320
House 106,U.S. Senate,GRN,Neal GALE,139
House 106,U.S. Senate,LIB,Dale R. KERNS, JR.,211
House 106,U.S. Senate,REP,Lou BARLETTA,8304
House 110,U.S. Senate,,Write In Votes,1
House 110,U.S. Senate,DEM,Bob Casey Jr,1052
House 110,U.S. Senate,GRN,Neal Gale,32
House 110,U.S. Senate,LIB,Dale R Kerns Jr,40
House 110,U.S. Senate,REP,Lou Barletta,2114
House 111,U.S. Senate,,Write In Votes,0
House 111,U.S. Senate,DEM,Bob Casey Jr,4468
House 111,U.S. Senate,DEM,Bob Casey Jr.,4034
House 111,U.S. Senate,GRN,Neal Gale,152
House 111,U.S. Senate,LIB,Dale R Kerns Jr,123
House 111,U.S. Senate,LIB,Dale R. Kerns Jr.,73
House 111,U.S. Senate,REP,Lou Barletta,14094
House 112,U.S. Senate,,Write-ins,12
House 112,U.S. Senate,DEM,Bob Casey, Jr.,21704
House 112,U.S. Senate,GRN,Neal Gale,174
House 112,U.S. Senate,LIB,Dale R. Kerns, Jr.,184
House 112,U.S. Senate,REP,Lou Barletta,11484
House 113,U.S. Senate,,Write-ins,10
House 113,U.S. Senate,DEM,Bob Casey, Jr.,12209
House 113,U.S. Senate,GRN,Neal Gale,73
House 113,U.S. Senate,LIB,Dale R. Kerns, Jr.,116
House 113,U.S. Senate,REP,Lou Barletta,6050
House 114,U.S. Senate,,Write-ins,7
House 114,U.S. Senate,DEM,Bob Casey, Jr.,12321
House 114,U.S. Senate,GRN,Neal Gale,109
House 114,U.S. Senate,LIB,Dale R. Kerns, Jr.,130
House 114,U.S. Senate,REP,Lou Barletta,8909
House 115,U.S. Senate,DEM,Bob Casey Jr.,12309
House 115,U.S. Senate,GRN,Neal Gale,131
House 115,U.S. Senate,LIB,Dale Kerns,147
House 115,U.S. Senate,REP,Lou Barletta,6620
House 116,U.S. Senate,,WRITE-IN,5
House 116,U.S. Senate,DEM,BOB CASEY, JR,4201
House 116,U.S. Senate,GRN,NEAL GALE,40
House 116,U.S. Senate,LIB,DALE R KERNS, JR,36
House 116,U.S. Senate,REP,LOU BARLETTA,6822
House 117,U.S. Senate,,WRITE-IN,2
House 117,U.S. Senate,,Write-ins,2
House 117,U.S. Senate,DEM,BOB CASEY, JR,4228
House 117,U.S. Senate,DEM,Bob Casey,3868
House 117,U.S. Senate,GRE,Neal Gale,86
House 117,U.S. Senate,GRN,NEAL GALE,62
House 117,U.S. Senate,LIB,DALE R KERNS, JR,66
House 117,U.S. Senate,LIB,Dale R. Kerns Jr.,92
House 117,U.S. Senate,REP,LOU BARLETTA,6955
House 117,U.S. Senate,REP,Lou Barletta,6582
House 118,U.S. Senate,,WRITE-IN,5
House 118,U.S. Senate,,Write-ins,0
House 118,U.S. Senate,DEM,BOB CASEY, JR,8757
House 118,U.S. Senate,DEM,Bob Casey, Jr.,2791
House 118,U.S. Senate,GRN,NEAL GALE,85
House 118,U.S. Senate,GRN,Neal Gale,28
House 118,U.S. Senate,LIB,DALE R KERNS, JR,76
House 118,U.S. Senate,LIB,Dale R. Kerns, Jr.,29
House 118,U.S. Senate,REP,LOU BARLETTA,7879
House 118,U.S. Senate,REP,Lou Barletta,2917
House 119,U.S. Senate,,WRITE-IN,6
House 119,U.S. Senate,DEM,BOB CASEY, JR,7828
House 119,U.S. Senate,GRN,NEAL GALE,75
House 119,U.S. Senate,LIB,DALE R KERNS, JR,105
House 119,U.S. Senate,REP,LOU BARLETTA,9779
House 120,U.S. Senate,,WRITE-IN,4
House 120,U.S. Senate,DEM,BOB CASEY, JR,11078
House 120,U.S. Senate,GRN,NEAL GALE,110
House 120,U.S. Senate,LIB,DALE R KERNS, JR,116
House 120,U.S. Senate,REP,LOU BARLETTA,10931
House 121,U.S. Senate,,WRITE-IN,4
House 121,U.S. Senate,DEM,BOB CASEY, JR,9334
House 121,U.S. Senate,GRN,NEAL GALE,90
House 121,U.S. Senate,LIB,DALE R KERNS, JR,109
House 121,U.S. Senate,REP,LOU BARLETTA,7479
House 122,U.S. Senate,,Write-In Votes,6
House 122,U.S. Senate,DEM,Bob Casey, Jr.,8203
House 122,U.S. Senate,GRN,Neal Gale,111
House 122,U.S. Senate,LIB,Dale R. Kerns, Jr.,181
House 122,U.S. Senate,REP,Lou Barletta,12927
House 124,U.S. Senate,,Write-In Votes,0
House 124,U.S. Senate,DEM,Bob Casey, Jr.,536
House 124,U.S. Senate,GRN,Neal Gale,8
House 124,U.S. Senate,LIB,Dale R. Kerns, Jr.,14
